Qty,Description,Note,Datasheet,Manufacturer,ManufacturerPartNum,Distributor,DistributorPartNum,DistributorPartLink,Distributor2,DistributorPartNum2,DistributorPartLink2,Distributor3,DistributorPartNum3,DistributorPartLink3
1,Raspberry Pi Pico W,,https://datasheets.raspberrypi.com/picow/pico-w-datasheet.pdf,Raspberry Pi,SC0918 ,Adafruit,5526,https://www.adafruit.com/product/5526,DigiKey,2648-SC0918CT-ND,https://www.digikey.ca/en/products/detail/raspberry-pi/SC0918/16608263,Mouser,358-SC0918,https://www.mouser.ca/ProductDetail/Raspberry-Pi/SC0918?qs=T%252BzbugeAwjj9dgdBLZSmdg%3D%3D
1,Picowbell Proto for Pico,,https://learn.adafruit.com/picowbell-proto,Adafruit,5200,Adafruit,5200,https://www.adafruit.com/product/5200,DigiKey,1528-5200-ND,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/5200/16910842,Mouser,485-5200,https://www.mouser.ca/ProductDetail/Adafruit/5200?qs=mELouGlnn3f6gH5dWr%2F%252BNQ%3D%3D
1,"OLED display, monochrome, 1.3in, 128x64, STEMMA QT",,https://learn.adafruit.com/monochrome-oled-breakouts/overview,Adafruit,938,Adafruit,938,https://www.adafruit.com/product/938,DigiKey,1528-1512-ND,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/938/5774238,Mouser,485-938,https://www.mouser.ca/ProductDetail/Adafruit/938?qs=GURawfaeGuBw18l06EFBdw%3D%3D
1,I2S amplifier BFF,,https://learn.adafruit.com/i2s-amplifier-bff,Adafruit,5770,Adafruit,5770,https://www.adafruit.com/product/5770,DigiKey,1528-5770-ND,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/5770/21283797?WT.z_header=search_go&s=N4IgjCBcoLQBxVAYygMwIYBsDOBTANCAPZQDa4ArAEwIC6AvvYVWSBQOzsAMIDQA,Mouser,485-5770,https://www.mouser.ca/ProductDetail/Adafruit/5770?qs=mELouGlnn3c7KoTKMIBFjA%3D%3D
1,"Switch, pushbutton, momentary, SPST, normally open",Use any appropriate pushbutton switch,,,,,,,,,,,,
1,"Speaker, 4 or 8 ohms, 3 watts",Use any appropriate speaker,https://cdn-shop.adafruit.com/product-files/3968/H-23071740-02.pdf,Adafruit,3968,Adafruit,3968,https://www.adafruit.com/product/3968,,,,,,
1,"Cable, STEMMA QT / Qwiic JST SH, 4 pins",For the OLED display; length as required,https://cdn-shop.adafruit.com/product-files/4210/4210_Kaweei_CBH-100-04-100_cross_part_for_C13334-001.pdf,Adafruit,4210,Adafruit,4210,https://www.adafruit.com/product/4210,DigiKey,1528-4210-ND,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4210/10230021?WT.z_header=search_go&s=N4IgjCBcoLQBxVAYygMwIYBsDOBTANCAPZQDa4ArAEwIC6AvvYVWSACxVgAMIDQA,Mouser,485-4210,https://www.mouser.ca/ProductDetail/Adafruit/4210?qs=PzGy0jfpSMuCfezrcTX9rQ%3D%3D
1,"Cable, Molex PicoBlade, 2 pins",For the speaker; length as required,https://www.adafruit.com/product/3922,Adafruit,3922,Adafruit,3922,https://www.adafruit.com/product/3922,DigiKey,1528-2732-ND,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/3922/9685337?WT.z_header=search_go&s=N4IgjCBcoLQBxVAYygMwIYBsDOBTANCAPZQDa4ArAEwIC6AvvYVWSAMwCcVLDQA,Mouser,485-3922,https://www.mouser.ca/ProductDetail/Adafruit/3922?qs=byeeYqUIh0NmfRKg7Kt28Q%3D%3D
1,"USB cable, micro B","Used for firmware installation, and subsequently only for power",,,,,,,,,,,,
1,"Power supply, USB, 5V, 1 watt",Use any compatible power supply,,Adafruit,501,Adafruit,501,https://www.adafruit.com/product/501,,,,,,
,Hookup wire,As required,, ,,,,,,,,,,
,Header pin and socket connectors,"Optional, for interconnects",,,,,,,,,,,,
